state,district,year,quarter,transaction_count,transaction_amount
Delhi,north east district,2018,3,336347,629247316.0822874
Delhi,east district,2018,3,990369,1384933230.2478726
Delhi,north west district,2018,3,1071877,1611349650.5127752
Delhi,north district,2018,3,955698,1471064055.191176
Delhi,south district,2018,1,334361,597143870.4750924
Delhi,central district,2018,1,2997714,4312145216.274474
Delhi,new delhi district,2018,1,883737,1478916789.169149
Delhi,west district,2018,1,545129,966855137.026748
Delhi,south west district,2018,1,318199,555900155.5283471
Delhi,south east delhi district,2018,1,562694,929543692.8225484
Delhi,shahdara district,2018,1,193886,326458215.38394874
Delhi,north east district,2018,1,180160,261468886.53742158
Delhi,east district,2018,1,357904,594248348.383992
Delhi,north west district,2018,1,387431,614242861.0675646
Delhi,north district,2018,1,361539,574580634.2506722
Tamil Nadu,tiruchirappalli district,2023,4,13546386,23130655906.0
Tamil Nadu,ramanathapuram district,2023,4,4196969,8083975191.0
Tamil Nadu,krishnagiri district,2023,4,38716127,58128403055.0
Tamil Nadu,cuddalore district,2023,4,10061731,15883322354.0
Tamil Nadu,kancheepuram district,2023,4,35825274,42324947809.0
Tamil Nadu,tiruppur district,2023,4,33312329,40204687126.0
Tamil Nadu,dharmapuri district,2023,4,15564980,28313365775.0
Tamil Nadu,thoothukkudi district,2023,4,6834131,10944724787.0
Tamil Nadu,thanjavur district,2023,4,7754898,13817285904.0
Tamil Nadu,madurai district,2023,4,16710432,30065725377.0
Tamil Nadu,tiruvannamalai district,2023,4,11492348,18827186868.0
Tamil Nadu,salem district,2023,4,25568703,44455006086.0
Tamil Nadu,nagapattinam district,2023,4,4347694,7311122645.0
Tamil Nadu,tirupathur district,2023,4,11031298,17300586537.0
Tamil Nadu,ariyalur district,2023,4,2549994,4367171700.0
Tamil Nadu,chennai district,2023,4,63203856,84462859933.0
Tamil Nadu,the nilgiris district,2023,4,4771052,7116857808.0
Tamil Nadu,erode district,2023,4,13962707,21465887465.0
Tamil Nadu,karur district,2023,4,5262117,9003387087.0
Tamil Nadu,kallakkurichi district,2023,4,7645944,12732566595.0
Tamil Nadu,viluppuram district,2023,4,7398695,11207312466.0
Tamil Nadu,pudukkottai district,2023,4,4683297,8939368761.0
Tamil Nadu,perambalur district,2023,4,2474062,4197994109.0
Tamil Nadu,coimbatore district,2023,4,49610094,62771942615.0
Tamil Nadu,virudhunagar district,2023,4,7127952,12454054001.0
Tamil Nadu,dindigul district,2023,4,12332967,21838011929.0
Tamil Nadu,sivaganga district,2023,4,4911741,9224527364.0
Tamil Nadu,tenkasi district,2023,4,4144695,7786677432.0
Tamil Nadu,chengalpattu district,2023,4,56593183,66002471552.0
Tamil Nadu,kanniyakumari district,2023,4,8165186,15240413516.0
Tamil Nadu,tirunelveli district,2023,4,7655361,12403415471.0
Tamil Nadu,thiruvallur district,2023,4,55046227,74196249957.0
Tamil Nadu,theni district,2023,4,6549554,12110551574.0
Tamil Nadu,ranipet district,2023,4,7743655,11977580131.0
Tamil Nadu,namakkal district,2023,4,10249122,18022602038.0
Tamil Nadu,vellore district,2023,4,13634855,21428316822.0
Tamil Nadu,thiruvarur district,2023,4,2801765,5129449259.0
Tamil Nadu,tiruchirappalli district,2023,2,11012446,20455452746.0
Tamil Nadu,ramanathapuram district,2023,2,3290555,6973064316.0
Tamil Nadu,krishnagiri district,2023,2,30480238,48954116395.0
Tamil Nadu,cuddalore district,2023,2,8354036,14112465473.0
Tamil Nadu,kancheepuram district,2023,2,30960455,38377770025.0
Tamil Nadu,tiruppur district,2023,2,25315335,34462188247.0
Tamil Nadu,dharmapuri district,2023,2,12289754,23737079024.0
Tamil Nadu,thoothukkudi district,2023,2,5717113,10292470339.0
Tamil Nadu,thanjavur district,2023,2,6416227,12463249803.0
Tamil Nadu,madurai district,2023,2,13702781,26681647309.0
Tamil Nadu,tiruvannamalai district,2023,2,9108567,16045360745.0
Tamil Nadu,salem district,2023,2,20677006,38483559669.0
Tamil Nadu,nagapattinam district,2023,2,3698379,6613294059.0
Tamil Nadu,tirupathur district,2023,2,8687983,14506799484.0
Tamil Nadu,ariyalur district,2023,2,2071096,3919208327.0
Tamil Nadu,chennai district,2023,2,58067196,79752773295.0
Tamil Nadu,the nilgiris district,2023,2,4539924,7445469665.0
Tamil Nadu,erode district,2023,2,11308928,18665388710.0
Tamil Nadu,karur district,2023,2,4190645,7781633847.0
Tamil Nadu,kallakkurichi district,2023,2,6125567,11043179815.0
Tamil Nadu,viluppuram district,2023,2,6461774,10411166144.0
Tamil Nadu,pudukkottai district,2023,2,3753548,7738272578.0
Tamil Nadu,perambalur district,2023,2,2004548,3643141277.0
Tamil Nadu,coimbatore district,2023,2,41794917,55641017773.0
Tamil Nadu,virudhunagar district,2023,2,5672006,10711314340.0
Tamil Nadu,dindigul district,2023,2,9690935,18790973063.0
Tamil Nadu,sivaganga district,2023,2,3981044,8228850727.0
Tamil Nadu,tenkasi district,2023,2,3311027,6929192057.0
