state,district,year,quarter,user_count
Tamil Nadu,madurai district,2023,1,996514
Tamil Nadu,tiruvannamalai district,2023,1,593924
Tamil Nadu,salem district,2023,1,1100202
Tamil Nadu,nagapattinam district,2023,1,273807
Tamil Nadu,tirupathur district,2023,1,386067
Tamil Nadu,ariyalur district,2023,1,162294
Tamil Nadu,chennai district,2023,1,2885933
Tamil Nadu,the nilgiris district,2023,1,208529
Tamil Nadu,erode district,2023,1,715174
Tamil Nadu,karur district,2023,1,269769
Tamil Nadu,kallakkurichi district,2023,1,373516
Tamil Nadu,viluppuram district,2023,1,460488
Tamil Nadu,pudukkottai district,2023,1,285472
Tamil Nadu,perambalur district,2023,1,135997
Tamil Nadu,coimbatore district,2023,1,2042019
Tamil Nadu,virudhunagar district,2023,1,420518
Tamil Nadu,dindigul district,2023,1,533017
Tamil Nadu,sivaganga district,2023,1,290846
Tamil Nadu,tenkasi district,2023,1,246959
Tamil Nadu,chengalpattu district,2023,1,1959401
Tamil Nadu,kanniyakumari district,2023,1,449614
Tamil Nadu,tirunelveli district,2023,1,409319
Tamil Nadu,thiruvallur district,2023,1,2393917
Tamil Nadu,theni district,2023,1,298400
Tamil Nadu,ranipet district,2023,1,395142
Tamil Nadu,namakkal district,2023,1,484476
Tamil Nadu,vellore district,2023,1,546340
Tamil Nadu,thiruvarur district,2023,1,205722
Tamil Nadu,tiruchirappalli district,2019,4,299366
Tamil Nadu,ramanathapuram district,2019,4,80027
Tamil Nadu,krishnagiri district,2019,4,335178
Tamil Nadu,cuddalore district,2019,4,216583
Tamil Nadu,kancheepuram district,2019,4,564806
Tamil Nadu,tiruppur district,2019,4,427694
Tamil Nadu,dharmapuri district,2019,4,171677
Tamil Nadu,thoothukkudi district,2019,4,131336
Tamil Nadu,thanjavur district,2019,4,181672
Tamil Nadu,madurai district,2019,4,351234
Tamil Nadu,tiruvannamalai district,2019,4,202112
Tamil Nadu,salem district,2019,4,390301
Tamil Nadu,nagapattinam district,2019,4,87998
Tamil Nadu,tirupathur district,2019,4,129026
Tamil Nadu,ariyalur district,2019,4,52294
Tamil Nadu,chennai district,2019,4,1216610
Tamil Nadu,the nilgiris district,2019,4,69335
Tamil Nadu,erode district,2019,4,242324
Tamil Nadu,karur district,2019,4,89726
Tamil Nadu,kallakkurichi district,2019,4,118948
Tamil Nadu,viluppuram district,2019,4,157860
Tamil Nadu,pudukkottai district,2019,4,89251
Tamil Nadu,perambalur district,2019,4,43804
Tamil Nadu,coimbatore district,2019,4,767480
Tamil Nadu,virudhunagar district,2019,4,136782
Tamil Nadu,dindigul district,2019,4,177010
Tamil Nadu,sivaganga district,2019,4,92648
Tamil Nadu,tenkasi district,2019,4,79619
Tamil Nadu,chengalpattu district,2019,4,829575
Tamil Nadu,kanniyakumari district,2019,4,147268
Tamil Nadu,tirunelveli district,2019,4,136178
Tamil Nadu,thiruvallur district,2019,4,934744
Tamil Nadu,theni district,2019,4,96179
Tamil Nadu,ranipet district,2019,4,141642
Tamil Nadu,namakkal district,2019,4,169515
Tamil Nadu,vellore district,2019,4,198172
Tamil Nadu,thiruvarur district,2019,4,64519
Tamil Nadu,tiruchirappalli district,2019,2,229886
Tamil Nadu,ramanathapuram district,2019,2,60663
Tamil Nadu,krishnagiri district,2019,2,252986
Tamil Nadu,cuddalore district,2019,2,165183
Tamil Nadu,kancheepuram district,2019,2,447527
Tamil Nadu,tiruppur district,2019,2,324350
Tamil Nadu,dharmapuri district,2019,2,131769
Tamil Nadu,thoothukkudi district,2019,2,99080
Tamil Nadu,thanjavur district,2019,2,136597
Tamil Nadu,madurai district,2019,2,268420
Tamil Nadu,tiruvannamalai district,2019,2,154806
Tamil Nadu,salem district,2019,2,302033
Tamil Nadu,nagapattinam district,2019,2,65797
