state,year,quarter,brand,user_count
Tamil Nadu,2019,1,Samsung,1181910
Tamil Nadu,2019,1,Vivo,982792
Tamil Nadu,2019,1,Oppo,574119
Tamil Nadu,2019,1,Motorola,263727
Tamil Nadu,2019,1,Realme,239102
Tamil Nadu,2019,1,Apple,223033
Tamil Nadu,2019,1,Lenovo,220455
Tamil Nadu,2019,1,OnePlus,209025
Tamil Nadu,2019,1,Huawei,206764
Tamil Nadu,2019,1,Others,655435
Tamil Nadu,2020,4,Xiaomi,3595631
Tamil Nadu,2020,4,Vivo,2971084
Tamil Nadu,2020,4,Samsung,2918795
Tamil Nadu,2020,4,Oppo,1665487
Tamil Nadu,2020,4,Realme,690401
Tamil Nadu,2020,4,Motorola,503120
Tamil Nadu,2020,4,Huawei,497653
Tamil Nadu,2020,4,Apple,417632
Tamil Nadu,2020,4,Lenovo,385136
Tamil Nadu,2020,4,OnePlus,347722
Tamil Nadu,2020,4,Others,1364925
Tamil Nadu,2020,2,Xiaomi,2891155
Tamil Nadu,2020,2,Samsung,2285005
Tamil Nadu,2020,2,Vivo,2216953
Tamil Nadu,2020,2,Oppo,1270624
Tamil Nadu,2020,2,Realme,512202
Tamil Nadu,2020,2,Motorola,430995
Tamil Nadu,2020,2,Huawei,410511
Tamil Nadu,2020,2,Apple,352063
Tamil Nadu,2020,2,Lenovo,331665
Tamil Nadu,2020,2,OnePlus,305910
Tamil Nadu,2020,2,Others,1143703
Tamil Nadu,2020,3,Xiaomi,3217633
Tamil Nadu,2020,3,Vivo,2577603
Tamil Nadu,2020,3,Samsung,2574986
Tamil Nadu,2020,3,Oppo,1456520
Tamil Nadu,2020,3,Realme,592254
Tamil Nadu,2020,3,Motorola,466225
Tamil Nadu,2020,3,Huawei,452345
Tamil Nadu,2020,3,Apple,378323
Tamil Nadu,2020,3,Lenovo,357461
Tamil Nadu,2020,3,OnePlus,324336
Tamil Nadu,2020,3,Others,1245765
Tamil Nadu,2020,1,Xiaomi,2602334
Tamil Nadu,2020,1,Samsung,2037120
Tamil Nadu,2020,1,Vivo,1937792
Tamil Nadu,2020,1,Oppo,1109430
Tamil Nadu,2020,1,Realme,450799
Tamil Nadu,2020,1,Motorola,395956
Tamil Nadu,2020,1,Huawei,370773
Tamil Nadu,2020,1,Apple,333073
Tamil Nadu,2020,1,Lenovo,308388
Tamil Nadu,2020,1,OnePlus,293970
Tamil Nadu,2020,1,Others,1032733
Tamil Nadu,2022,1,Xiaomi,4978558
Tamil Nadu,2022,1,Vivo,4823657
Tamil Nadu,2022,1,Samsung,3775700
Tamil Nadu,2022,1,Oppo,2599406
Tamil Nadu,2022,1,Realme,1468106
Tamil Nadu,2022,1,Apple,624113
Tamil Nadu,2022,1,OnePlus,549762
Tamil Nadu,2022,1,Motorola,495397
Tamil Nadu,2022,1,Huawei,485896
Tamil Nadu,2022,1,Lenovo,331152
Tamil Nadu,2022,1,Others,1535273
Tamil Nadu,2021,4,Xiaomi,4737458
Tamil Nadu,2021,4,Vivo,4457962
Tamil Nadu,2021,4,Samsung,3636646
Tamil Nadu,2021,4,Oppo,2390692
Tamil Nadu,2021,4,Realme,1288203
Tamil Nadu,2021,4,Apple,575168
Tamil Nadu,2021,4,OnePlus,507178
Tamil Nadu,2021,4,Motorola,501002
Tamil Nadu,2021,4,Huawei,493892
Tamil Nadu,2021,4,Lenovo,336045
Tamil Nadu,2021,4,Others,1508896
Tamil Nadu,2021,2,Xiaomi,4159447
Tamil Nadu,2021,2,Vivo,3648711
Tamil Nadu,2021,2,Samsung,3335419
Tamil Nadu,2021,2,Oppo,1982731
Tamil Nadu,2021,2,Realme,924040
Tamil Nadu,2021,2,Huawei,515007
Tamil Nadu,2021,2,Motorola,513680
Tamil Nadu,2021,2,Apple,481336
Tamil Nadu,2021,2,OnePlus,400480
Tamil Nadu,2021,2,Lenovo,375748
Tamil Nadu,2021,2,Others,1467943
Tamil Nadu,2021,3,Xiaomi,4464525
Tamil Nadu,2021,3,Vivo,4059800
Tamil Nadu,2021,3,Samsung,3487967
Tamil Nadu,2021,3,Oppo,2182951
Tamil Nadu,2021,3,Realme,1086229
Tamil Nadu,2021,3,Apple,516731
Tamil Nadu,2021,3,Huawei,514394
Tamil Nadu,2021,3,Motorola,504404
Tamil Nadu,2021,3,OnePlus,454175
Tamil Nadu,2021,3,Lenovo,358008
Tamil Nadu,2021,3,Others,1498256
Tamil Nadu,2021,1,Xiaomi,3887022
Tamil Nadu,2021,1,Vivo,3309321
Tamil Nadu,2021,1,Samsung,3143951
Tamil Nadu,2021,1,Oppo,1825392
Tamil Nadu,2021,1,Realme,782154
Tamil Nadu,2021,1,Huawei,522223
Tamil Nadu,2021,1,Motorola,518191
Tamil Nadu,2021,1,Apple,449432
Tamil Nadu,2021,1,Lenovo,389630
Tamil Nadu,2021,1,OnePlus,369966
Tamil Nadu,2021,1,Others,1435326
Tamil Nadu,2018,4,Xiaomi,1270630
Tamil Nadu,2018,4,Samsung,978019
Tamil Nadu,2018,4,Vivo,776632
Tamil Nadu,2018,4,Oppo,457237
Tamil Nadu,2018,4,Motorola,228639
Tamil Nadu,2018,4,Realme,198871
Tamil Nadu,2018,4,Lenovo,194451
Tamil Nadu,2018,4,Apple,191032
Tamil Nadu,2018,4,OnePlus,180637
Tamil Nadu,2018,4,Huawei,164880
Tamil Nadu,2018,4,Others,558850
Tamil Nadu,2018,2,Xiaomi,723469
Tamil Nadu,2018,2,Samsung,574902
Tamil Nadu,2018,2,Vivo,390299
Tamil Nadu,2018,2,Oppo,240094
Tamil Nadu,2018,2,Motorola,139685
Tamil Nadu,2018,2,Lenovo,127831
Tamil Nadu,2018,2,Apple,123693
Tamil Nadu,2018,2,OnePlus,119948
Tamil Nadu,2018,2,Realme,116217
Tamil Nadu,2018,2,Huawei,86507
Tamil Nadu,2018,2,Others,353391
Tamil Nadu,2018,3,Xiaomi,948490
Tamil Nadu,2018,3,Samsung,739663
Tamil Nadu,2018,3,Vivo,545491
Tamil Nadu,2018,3,Oppo,327387
Tamil Nadu,2018,3,Motorola,177191
Tamil Nadu,2018,3,Lenovo,153372
Tamil Nadu,2018,3,Apple,150205
Tamil Nadu,2018,3,Realme,149904
Tamil Nadu,2018,3,OnePlus,145542
Tamil Nadu,2018,3,Huawei,118152
Tamil Nadu,2018,3,Others,444780
Tamil Nadu,2018,1,Xiaomi,503469
Tamil Nadu,2018,1,Samsung,408997
Tamil Nadu,2018,1,Vivo,256682
Tamil Nadu,2018,1,Oppo,160460
Tamil Nadu,2018,1,Motorola,100336
Tamil Nadu,2018,1,OnePlus,93643
Tamil Nadu,2018,1,Apple,93282
Tamil Nadu,2018,1,Lenovo,92559
Tamil Nadu,2018,1,Realme,82612
Tamil Nadu,2018,1,Huawei,59799
Tamil Nadu,2018,1,Others,252915
Tripura,2019,4,Xiaomi,68653
Tripura,2019,4,Samsung,63478
Tripura,2019,4,Oppo,35779
Tripura,2019,4,Vivo,29148
